studio,domestic_gross,foreign_gross,year
"Global Road",34200000,45100000,2018
Grav.,1700,0,2018
Greenwich,1965000,9900000,2018
Grindstone,10000,256000,2018
Icar.,17800,0,2018
IFC,10226900,18829000,2018
KL,224500,0,2018
LG/S,93400000,58730000,2018
LGF,227455400,601036000,2018
Magn.,3551500,12300000,2018
MBox,692300,11400000,2018
Men.,12200,0,2018
MGM,149700000,98300000,2018
MUBI,117000,0,2018
Neon,333000,0,2018
NGE,17500000,0,2018
Orch.,238000,0,2018
Orion,6100000,0,2018
Osci.,194900,0,2018
OutF,73500,0,2018
PackYourBag,1083000,0,2018
Par.,768000000,1186800000,2018
PDF,11700,0,2018
PNT,57300000,40900000,2018
RAtt.,6650000,0,2018
RLJ,1200000,0,2018
Scre.,53800,4200000,2018
SGem,92300000,99676000,2018
Sony,956692500,1658936000,2018
Spanglish,2600000,5200000,2018
SPC,20413000,8600000,2018
Strand,51900,0,2018
"Studio 8",59900000,64200000,2018
STX,261600000,204200000,2018
Super,98400,0,2018
Swen,1000000,0,2018
Synergetic,2400,0,2018
Trafalgar,4200000,16100000,2018
Uni.,1790455000,3110600000,2018
VE,4792300,4200000,2018
Vita.,149000,0,2018
VPD,12386000,84200000,2018
WB,1729100000,3786400000,2018
"WB (NL)",395500000,659800000,2018
WGUSA,3510100,793200000,2018
Yash,330000,3900000,2018
